蓴菜,ㄔㄨㄣˊ ㄘㄞˋ
軟絲,ㄖㄨㄢˇ ㄙ
慈菇,ㄘˊ ㄍㄨ
蒲菜,ㄆㄨˊ ㄘㄞˋ
秀珍菇,ㄒㄧㄡˋ ㄓㄣ ㄍㄨ
蟹腳,ㄒㄧㄝˋ ㄐㄧㄠˇ
白精靈菇,ㄅㄞˊ ㄐㄧㄥ ㄌㄧㄥˊ ㄍㄨ
珊瑚菇,ㄕㄢ ㄏㄨˊ ㄍㄨ
柳松菇,ㄌㄧㄡˇ ㄙㄨㄥ ㄍㄨ
杏鮑菇,ㄒㄧㄣˋ ㄅㄠˋ ㄍㄨ
猴頭菇,ㄏㄡˊ ㄊㄡˊ ㄍㄨ
鴻喜菇,ㄏㄨㄥˊ ㄒㄧˇ ㄍㄨ
肉鯽仔,ㄖㄡˋ ㄐㄧˋ ㄗˇ
